plate_number,owner_name,cnic,phone,car_make,car_model,car_year,car_color,registration_city,registration_date,tax_status,violations,insurance_status
KHI 9861,Owner 72,31827-7580014-6,0324-1198319,Hyundai,Elantra,2023,Red,Islamabad,2022-10-06,Unpaid,1,Expired
LEA 9191,Owner 73,30960-6615607-4,0327-6981130,Nissan,Sedan,2016,Black,Faisalabad,2015-04-16,Paid,5,Active
ICT 6124,Owner 74,31569-4049818-6,0304-3874564,Kia,Picanto,2020,Silver,Lahore,2021-09-14,Unpaid,0,Expired
ICT 3541,Owner 75,38428-8773177-5,0302-7937140,Suzuki,Swift,2022,White,Lahore,2022-01-26,Paid,2,Active
LZP 6912,Owner 76,39585-9786017-3,0331-8270950,Suzuki,Alto,2022,Silver,Faisalabad,2021-02-06,Paid,1,Active
ICT 8245,Owner 77,36041-6401399-8,0337-7632844,Suzuki,Swift,2024,Red,Islamabad,2021-03-08,Unpaid,2,Expired
ICT 2578,Owner 78,37786-6708179-6,0336-9210448,Nissan,Sedan,2022,Red,Karachi,2017-05-18,Paid,5,Expired
ICT 5329,Owner 79,39441-4074222-9,0315-8592224,Hyundai,Tucson,2016,Red,Faisalabad,2018-09-28,Paid,5,Expired
KHI 7718,Owner 80,33166-3134725-6,0330-1990888,Toyota,Corolla,2020,White,Karachi,2019-10-25,Paid,5,Active
LZP 8320,Owner 81,38296-1676447-7,0335-8325058,Suzuki,Cultus,2017,Silver,Karachi,2020-07-30,Unpaid,0,Active
LEA 2652,Owner 82,35899-7852486-2,0347-8092364,Suzuki,Alto,2016,Silver,Islamabad,2019-02-27,Unpaid,3,Active
KHI 2438,Owner 83,33471-2099815-4,0325-2931881,Suzuki,Cultus,2023,Grey,Lahore,2022-06-10,Unpaid,1,Active
ICT 2124,Owner 84,31656-7359015-2,0345-1959958,Honda,City,2024,White,Islamabad,2015-12-26,Paid,3,Expired
KHI 7458,Owner 85,37054-6673871-6,0340-3294425,Hyundai,Tucson,2015,White,Lahore,2022-03-30,Unpaid,2,Expired
LEA 6483,Owner 86,30438-4291404-3,0343-7125338,Nissan,Sedan,2019,White,Rawalpindi,2017-07-22,Paid,4,Expired
LZP 1724,Owner 87,34324-2470344-4,0300-7226053,Hyundai,Elantra,2023,Red,Rawalpindi,2017-02-12,Unpaid,1,Active
KHI 3923,Owner 88,38059-5994528-2,0333-3923839,Kia,Sportage,2021,Silver,Lahore,2021-10-29,Paid,5,Expired
ICT 5294,Owner 89,39425-5543638-4,0313-7812389,Hyundai,Elantra,2023,Red,Rawalpindi,2022-09-13,Unpaid,3,Active
LEA 8376,Owner 90,34212-9784254-7,0339-7320366,Nissan,Sedan,2017,Black,Rawalpindi,2016-05-21,Unpaid,4,Expired
LZP 4034,Owner 91,38866-5816611-9,0326-9432223,Nissan,Sedan,2015,White,Rawalpindi,2015-01-25,Paid,2,Expired
ICT 3904,Owner 92,36829-1934864-7,0307-8533326,Honda,City,2022,Red,Lahore,2016-07-16,Paid,5,Expired
LZP 2714,Owner 93,36405-6872184-6,0342-1270029,Honda,City,2023,Red,Islamabad,2020-08-23,Unpaid,4,Expired
ICT 2966,Owner 94,34634-3582009-4,0304-3502382,Honda,Civic,2015,Red,Lahore,2019-02-12,Unpaid,3,Expired
ICT 1354,Owner 95,38703-4157984-3,0326-2114076,Kia,Picanto,2020,Silver,Lahore,2016-04-07,Paid,2,Expired
KHI 4724,Owner 96,32960-1960068-9,0304-7507944,Toyota,Fortuner,2021,Red,Faisalabad,2019-07-02,Unpaid,4,Active
KHI 3230,Owner 97,31395-3256798-8,0346-7827544,Toyota,Corolla,2024,Red,Karachi,2017-09-04,Unpaid,5,Expired
ICT 3718,Owner 98,38502-1380399-5,0332-9342462,Kia,Picanto,2016,Grey,Rawalpindi,2017-04-02,Unpaid,1,Expired
LZP 7935,Owner 99,38907-8043794-4,0319-4107559,Suzuki,Alto,2019,Silver,Islamabad,2018-12-03,Paid,1,Expired
LEA 5528,Owner 100,35904-2549325-8,0322-2383772,Toyota,Yaris,2021,White,Islamabad,2016-12-13,Paid,1,Expired
LZP 7548,Owner 101,34955-9892527-1,0328-2152468,Nissan,Sedan,2020,Silver,Rawalpindi,2020-11-21,Unpaid,3,Expired
KHI 6592,Owner 102,32250-7248058-9,0341-6439725,Honda,Civic,2024,Grey,Karachi,2019-07-16,Paid,1,Active
LZP 9538,Owner 103,30918-1877611-4,0326-6327582,Hyundai,Tucson,2022,Grey,Rawalpindi,2020-04-17,Paid,3,Expired
LEA 1981,Owner 104,33924-4207862-9,0320-3570305,Suzuki,Swift,2015,White,Lahore,2020-07-19,Unpaid,2,Active
LEA 8246,Owner 105,39225-8348513-5,0311-7791766,Nissan,Sedan,2023,White,Faisalabad,2022-11-05,Paid,4,Expired
LZP 3390,Owner 106,30313-7981803-8,0310-6515380,Suzuki,Swift,2015,White,Islamabad,2017-04-26,Paid,1,Active
LZP 3245,Owner 107,35456-6242058-7,0345-1094896,Honda,City,2019,Silver,Karachi,2018-03-17,Unpaid,5,Active
ICT 6495,Owner 108,33226-8838531-5,0315-5133753,Hyundai,Elantra,2019,White,Faisalabad,2016-02-26,Paid,3,Active
LZP 5370,Owner 109,39225-4832336-6,0330-4434665,Toyota,Yaris,2024,White,Karachi,2017-02-25,Paid,4,Expired
ICT 6375,Owner 110,30467-2200680-4,0347-4612406,Hyundai,Elantra,2016,Red,Rawalpindi,2016-06-14,Unpaid,2,Expired
LZP 8883,Owner 111,36485-1317582-2,0329-9781762,Nissan,Sedan,2021,Silver,Lahore,2015-01-13,Paid,0,Active
LEA 7813,Owner 112,31071-7751747-6,0342-2668663,Kia,Sportage,2016,White,Lahore,2021-01-27,Unpaid,3,Expired
LZP 5421,Owner 113,37653-4341360-1,0320-9034324,Hyundai,Elantra,2019,Grey,Karachi,2017-06-23,Paid,1,Active
LEA 7797,Owner 114,39365-1647934-3,0313-4351458,Hyundai,Tucson,2018,Black,Faisalabad,2018-02-06,Paid,4,Active
ICT 2783,Owner 115,33442-4098294-7,0335-7238725,Hyundai,Tucson,2015,Black,Islamabad,2018-06-28,Unpaid,4,Active
LEA 9224,Owner 116,38829-7361339-6,0346-7837574,Toyota,Fortuner,2024,Grey,Faisalabad,2020-11-24,Unpaid,4,Expired
KHI 4607,Owner 117,39592-8081790-1,0333-5234594,Kia,Sportage,2021,Silver,Karachi,2021-02-20,Unpaid,4,Expired
KHI 8857,Owner 118,31319-1718539-2,0327-3114203,Honda,City,2018,White,Faisalabad,2019-06-19,Paid,5,Active
LEA 4142,Owner 119,30343-3869773-9,0340-1728605,Kia,Picanto,2015,Grey,Karachi,2023-02-14,Paid,4,Active
KHI 8515,Owner 120,33135-8781572-1,0320-2099904,Honda,City,2022,Silver,Lahore,2020-02-23,Paid,2,Expired
KHI 7929,Owner 121,33362-9970414-3,0332-9464789,Kia,Sportage,2017,White,Rawalpindi,2021-01-22,Unpaid,3,Expired
KHI 4280,Owner 122,35064-4030085-3,0343-2423271,Suzuki,Alto,2016,Red,Lahore,2020-08-08,Paid,1,Expired
ICT 6295,Owner 123,33331-3629226-7,0341-5579369,Nissan,Sedan,2021,Red,Karachi,2021-08-21,Unpaid,4,Active
ICT 8480,Owner 124,30393-9842706-9,0333-3779024,Toyota,Yaris,2023,Silver,Islamabad,2015-04-18,Paid,3,Expired
LEA 3913,Owner 125,30815-8526451-8,0313-2866687,Hyundai,Tucson,2022,Black,Karachi,2015-06-11,Paid,4,Expired
ICT 1302,Owner 126,35212-3179264-1,0325-5523899,Toyota,Corolla,2019,Red,Karachi,2023-02-14,Paid,0,Expired
ICT 7849,Owner 127,36199-7203173-8,0312-8228307,Nissan,Sedan,2019,Grey,Karachi,2022-11-23,Paid,0,Active
ICT 1960,Owner 128,39200-4335488-7,0344-7187572,Honda,Civic,2024,Red,Lahore,2020-02-18,Paid,0,Active
LZP 9994,Owner 129,30545-1304885-2,0322-5351656,Honda,City,2021,White,Karachi,2022-02-01,Paid,5,Expired
LEA 5229,Owner 130,30746-8299278-4,0308-5740807,Kia,Picanto,2021,Black,Faisalabad,2017-06-07,Paid,5,Expired
ICT 3564,Owner 131,34824-3954716-1,0314-2853337,Toyota,Corolla,2017,White,Faisalabad,2020-05-27,Unpaid,5,Expired
KHI 8701,Owner 132,36241-8527833-3,0325-1050250,Hyundai,Elantra,2023,Silver,Karachi,2020-05-25,Unpaid,5,Expired
ICT 6926,Owner 133,32990-3219142-6,0349-7933714,Nissan,Sedan,2021,White,Islamabad,2017-11-09,Paid,0,Active
ICT 3299,Owner 134,39946-1545570-6,0303-9525505,Suzuki,Cultus,2018,Red,Rawalpindi,2022-01-02,Unpaid,5,Active
KHI 9460,Owner 135,31331-7165076-4,0311-1721946,Kia,Picanto,2020,Black,Rawalpindi,2016-08-02,Paid,2,Active
KHI 5420,Owner 136,38629-6476864-3,0315-1725269,Nissan,Sedan,2023,Silver,Faisalabad,2015-05-12,Unpaid,4,Active
LZP 3822,Owner 137,34396-7903681-9,0327-2184294,Kia,Picanto,2016,Red,Islamabad,2023-01-04,Paid,1,Active
ICT 3038,Owner 138,33165-5138764-7,0328-4936969,Toyota,Fortuner,2016,Silver,Karachi,2022-01-29,Unpaid,1,Expired
KHI 7721,Owner 139,33075-6497475-9,0335-8788264,Suzuki,Alto,2018,Black,Rawalpindi,2016-08-18,Unpaid,5,Active
ICT 4531,Owner 140,37793-2512550-7,0328-4422534,Honda,City,2021,Black,Islamabad,2022-11-16,Unpaid,0,Expired
LEA 7579,Owner 141,37097-5600200-7,0313-3407037,Suzuki,Swift,2020,White,Lahore,2016-04-01,Unpaid,5,Expired
LZP 6214,Owner 142,33862-5559617-5,0313-2563071,Honda,City,2020,Grey,Islamabad,2020-12-08,Unpaid,2,Expired
LZP 3316,Owner 143,33584-3984921-4,0331-5324629,Kia,Picanto,2024,Grey,Karachi,2015-11-04,Unpaid,5,Expired
LZP 7789,Owner 144,38956-3105383-5,0326-2081912,Hyundai,Tucson,2020,Silver,Islamabad,2022-01-31,Unpaid,5,Active
ICT 4470,Owner 145,34605-2283883-6,0333-9522409,Kia,Picanto,2017,White,Karachi,2018-03-25,Paid,5,Active
LEA 8238,Owner 146,38087-1735623-1,0317-5735732,Honda,Civic,2020,White,Faisalabad,2015-04-29,Unpaid,5,Expired
KHI 1509,Owner 147,30132-3808313-9,0301-2021668,Hyundai,Elantra,2024,Grey,Lahore,2016-03-25,Paid,3,Expired
LEA 1953,Owner 148,38194-9290308-7,0322-5407351,Toyota,Corolla,2020,Grey,Islamabad,2018-12-24,Paid,2,Active
LZP 7542,Owner 149,35251-8978859-7,0304-2094996,Toyota,Corolla,2019,Black,Lahore,2017-07-03,Paid,0,Active
LZP 1974,Owner 150,38968-4773347-8,0340-9269228,Kia,Sportage,2020,Red,Faisalabad,2022-08-21,Paid,2,Active
KHI 3146,Owner 151,32632-1266332-2,0308-5775240,Nissan,Sedan,2016,White,Islamabad,2016-10-01,Paid,5,Expired
LEA 7282,Owner 152,30313-9931260-3,0320-5343994,Kia,Picanto,2018,Grey,Lahore,2018-05-20,Paid,2,Expired
LEA 8962,Owner 153,30915-5444046-2,0321-6978911,Nissan,Sedan,2019,White,Karachi,2020-01-05,Unpaid,1,Active
LEA 3027,Owner 154,32451-4378312-9,0333-8840222,Honda,City,2017,Silver,Rawalpindi,2021-04-24,Paid,1,Active
LEA 2769,Owner 155,37074-9113517-2,0343-5060649,Nissan,Sedan,2024,Silver,Islamabad,2017-05-28,Paid,4,Active
ICT 3888,Owner 156,32913-6737289-1,0347-4965120,Toyota,Yaris,2015,Red,Islamabad,2019-11-29,Paid,0,Expired
LZP 1615,Owner 157,36431-7842051-4,0300-7821961,Suzuki,Alto,2023,Silver,Islamabad,2022-10-02,Unpaid,2,Active
LZP 7783,Owner 158,37446-4655297-9,0320-9346654,Toyota,Fortuner,2023,Grey,Karachi,2016-09-17,Paid,0,Active
ICT 4703,Owner 159,35148-2664772-5,0307-2820586,Honda,Civic,2015,Silver,Rawalpindi,2016-01-07,Paid,3,Expired
LZP 1500,Owner 160,34828-9667046-2,0333-6733696,Suzuki,Swift,2019,Grey,Islamabad,2022-02-22,Paid,3,Expired
KHI 8993,Owner 161,31268-2391938-2,0329-3981675,Honda,Civic,2021,Red,Islamabad,2015-03-13,Unpaid,1,Active
KHI 3122,Owner 162,35592-8645754-8,0327-9737956,Honda,Civic,2017,White,Faisalabad,2015-06-05,Paid,0,Expired
LEA 1313,Owner 163,39270-7067524-1,0322-6023152,Toyota,Corolla,2020,White,Islamabad,2015-05-24,Unpaid,1,Expired
KHI 7672,Owner 164,35408-1699353-1,0320-4557841,Toyota,Yaris,2018,Grey,Rawalpindi,2021-11-26,Unpaid,0,Active
KHI 8822,Owner 165,38412-1667292-6,0311-5299857,Honda,Civic,2016,Grey,Rawalpindi,2021-01-24,Unpaid,4,Expired
KHI 1543,Owner 166,37653-3345894-1,0309-2503788,Hyundai,Tucson,2016,Black,Karachi,2020-02-09,Paid,4,Active
KHI 8023,Owner 167,38738-5358587-6,0312-5606714,Hyundai,Elantra,2020,Silver,Rawalpindi,2019-10-28,Paid,2,Expired
KHI 3462,Owner 168,37809-9870365-8,0314-3923934,Hyundai,Tucson,2022,Grey,Karachi,2018-10-21,Paid,4,Expired
LEA 4138,Owner 169,30832-3596692-2,0333-5676932,Nissan,Sedan,2018,Red,Lahore,2019-06-28,Unpaid,5,Active
LZP 8232,Owner 170,33780-1398457-1,0317-4131730,Kia,Sportage,2017,Grey,Islamabad,2016-09-17,Unpaid,5,Expired
ICT 7664,Owner 171,34545-5361240-7,0337-7997246,Nissan,Sedan,2022,Red,Faisalabad,2023-01-13,Paid,5,Expired
KHI 3116,Owner 172,35779-5128103-7,0326-4405319,Honda,City,2015,White,Faisalabad,2023-03-15,Unpaid,0,Expired
LEA 2074,Owner 173,35185-8165642-4,0334-7414690,Nissan,Sedan,2016,Black,Karachi,2018-12-05,Unpaid,0,Active
LEA 9416,Owner 174,32207-3490926-5,0301-7883464,Honda,City,2023,Grey,Karachi,2016-04-06,Paid,4,Expired
LEA 9055,Owner 175,35214-5749024-4,0344-7194537,Nissan,Sedan,2020,White,Islamabad,2019-11-02,Paid,3,Expired
ICT 9888,Owner 176,36272-7108394-5,0348-8529913,Honda,City,2021,Black,Lahore,2016-01-27,Paid,1,Active
ICT 6604,Owner 177,37285-3962081-9,0318-6505500,Toyota,Yaris,2021,Black,Rawalpindi,2022-09-28,Paid,3,Active
LEA 6353,Owner 178,34686-2848028-1,0308-4250017,Hyundai,Tucson,2017,White,Karachi,2017-12-18,Unpaid,2,Expired
ICT 1923,Owner 179,31271-9114755-2,0320-1474327,Toyota,Corolla,2023,White,Islamabad,2017-07-12,Paid,0,Active
ICT 2612,Owner 180,39495-7763139-2,0346-3053448,Hyundai,Elantra,2019,Silver,Rawalpindi,2016-01-13,Paid,2,Expired
ICT 4433,Owner 181,36768-4513065-3,0319-7966294,Suzuki,Cultus,2023,Black,Rawalpindi,2020-09-18,Paid,1,Expired
LZP 1633,Owner 182,32142-6049061-4,0331-4612089,Suzuki,Swift,2023,Black,Lahore,2021-12-13,Unpaid,2,Expired
LZP 1260,Owner 183,34606-4897778-9,0315-5711692,Nissan,Sedan,2020,Silver,Islamabad,2022-03-25,Paid,2,Active
LZP 4676,Owner 184,39830-3790000-3,0313-2370062,Nissan,Sedan,2022,White,Karachi,2016-10-31,Unpaid,1,Active
ICT 1951,Owner 185,36382-1465332-1,0341-2950627,Toyota,Fortuner,2020,Black,Islamabad,2019-10-02,Paid,4,Active
LEA 6030,Owner 186,38685-7287703-6,0311-4240051,Nissan,Sedan,2015,Silver,Islamabad,2019-07-15,Paid,4,Expired
ICT 3475,Owner 187,32204-1653710-3,0330-5214977,Hyundai,Elantra,2022,White,Lahore,2021-12-18,Paid,2,Expired
LEA 2775,Owner 188,32652-8990618-6,0301-9466239,Nissan,Sedan,2021,White,Faisalabad,2020-06-29,Unpaid,3,Active
ICT 5310,Owner 189,36211-7700717-3,0348-1224896,Nissan,Sedan,2019,White,Karachi,2021-11-16,Unpaid,4,Active
LZP 5116,Owner 190,37121-6564715-9,0307-9019693,Suzuki,Swift,2024,Black,Karachi,2022-09-17,Unpaid,1,Active
LZP 5855,Owner 191,39592-3892159-6,0349-6083445,Hyundai,Tucson,2016,White,Faisalabad,2021-01-18,Paid,1,Active
ICT 7408,Owner 192,31536-6137619-1,0320-3712357,Nissan,Sedan,2020,White,Karachi,2016-07-09,Unpaid,1,Active
KHI 7369,Owner 193,34081-4832580-2,0314-7567326,Suzuki,Swift,2020,Grey,Lahore,2017-10-23,Paid,1,Expired
KHI 8233,Owner 194,30767-9670864-4,0320-2446830,Suzuki,Swift,2022,Grey,Lahore,2022-10-17,Paid,4,Active
LZP 4584,Owner 195,33027-6532763-2,0345-2623756,Hyundai,Tucson,2017,White,Lahore,2019-10-28,Paid,4,Expired
KHI 7580,Owner 196,39853-9483196-6,0321-8224205,Kia,Sportage,2017,Silver,Faisalabad,2021-09-14,Paid,3,Active
KHI 2075,Owner 197,37272-7931715-1,0335-4978654,Nissan,Sedan,2022,White,Rawalpindi,2016-08-19,Paid,5,Expired
LZP 5892,Owner 198,36223-4585512-7,0333-8672393,Nissan,Sedan,2021,White,Karachi,2020-06-27,Paid,1,Expired
KHI 4756,Owner 199,30411-8468363-1,0333-3787696,Nissan,Sedan,2020,Red,Lahore,2015-04-21,Paid,3,Expired
KHI 9216,Owner 200,34540-9682719-8,0305-8074028,Suzuki,Cultus,2015,White,Islamabad,2017-09-25,Paid,2,Active
ICT 2471,Owner 201,31067-2219747-8,0342-3623476,Honda,City,2017,Red,Islamabad,2017-11-26,Unpaid,5,Expired
LEA 2994,Owner 202,30903-2399937-8,0345-5752881,Hyundai,Tucson,2022,Grey,Faisalabad,2021-06-30,Unpaid,4,Expired
